18,65,Other or not listed,-1,'"country"=>"SA", "ogc_fid"=>"638", "visible"=>"1", "name_all"=>"Makkah", "name_eng"=>"Makkah", "name_nat"=>" ", "objectid"=>"658", "duplicate"=>"1", "mb_symbol"=>"other_nl", "annotation"=>"Makkah", "under_construction"=>"0"',POINT(40.275879 22.014361)
19,67,Other or not listed,-1,'"country"=>"SA", "ogc_fid"=>"639", "visible"=>"1", "name_all"=>"Taif", "name_eng"=>"Taif", "name_nat"=>" ", "objectid"=>"659", "duplicate"=>"1", "mb_symbol"=>"other_nl", "annotation"=>"Taif", "under_construction"=>"0"',POINT(40.385742 21.667639)
20,59,Other or not listed,-1,'"country"=>"SA", "ogc_fid"=>"640", "visible"=>"1", "name_all"=>"Shoaibah", "name_eng"=>"Shoaibah", "name_nat"=>" ", "objectid"=>"660", "duplicate"=>"1", "mb_symbol"=>"other_nl", "annotation"=>"Shoaibah", "under_construction"=>"0"',POINT(39.70459 21.596151)
21,63,Other or not listed,-1,'"country"=>"SA", "ogc_fid"=>"642", "visible"=>"1", "name_all"=>"Jeddah", "name_eng"=>"Jeddah", "name_nat"=>" ", "objectid"=>"662", "duplicate"=>"3", "mb_symbol"=>"other_nl", "annotation"=>"", "under_construction"=>"0"',POINT(39.671631 22.08564)
22,53,Other or not listed,-1,'"country"=>"SA", "ogc_fid"=>"645", "visible"=>"1", "name_all"=>"Hail", "name_eng"=>"Hail", "name_nat"=>" ", "objectid"=>"665", "duplicate"=>"2", "mb_symbol"=>"other_nl", "annotation"=>"", "under_construction"=>"0"',POINT(40.341797 27.965295)
23,49,Other or not listed,-1,'"country"=>"SA", "ogc_fid"=>"646", "visible"=>"1", "name_all"=>"Al Munwwarah", "name_eng"=>"Al Munwwarah", "name_nat"=>" ", "objectid"=>"666", "duplicate"=>"2", "mb_symbol"=>"other_nl", "annotation"=>"", "under_construction"=>"0"',POINT(39.616699 24.467151)
24,52,Other or not listed,-1,'"country"=>"SA", "ogc_fid"=>"649", "visible"=>"1", "name_all"=>"Ipp", "name_eng"=>"Ipp", "name_nat"=>" ", "objectid"=>"669", "duplicate"=>"2", "mb_symbol"=>"other_nl_cons", "annotation"=>"", "under_construction"=>"1"',POINT(39.25415 22.917923)
25,59,Other or not listed,-1,'"country"=>"SD", "ogc_fid"=>"662", "visible"=>"1", "name_all"=>"Port Sudan", "name_eng"=>"Port Sudan", "name_nat"=>" ", "objectid"=>"682", "duplicate"=>"1", "mb_symbol"=>"other_nl_cons", "annotation"=>"Port Sudan", "under_construction"=>"1"',POINT(37.133789 20.468189)
26,119,Wind farm,90,'"country"=>"GR", "ogc_fid"=>"6284", "visible"=>"-1", "category"=>"2", "name_all"=>"WF-5", "name_eng"=>"WF-5", "name_nat"=>"WF-5", "duplicate"=>"1", "mb_symbol"=>"wind", "annotation"=>"WF-5", "under_construction"=>"0"',POINT(22.038574 38.470794)
27,77,Fossil oil,418,'"country"=>"CY", "ogc_fid"=>"2497", "visible"=>"1", "name_all"=>"Moni P.S.", "name_eng"=>"Moni P.S.", "name_nat"=>" ", "objectid"=>"2594", "duplicate"=>"1", "mb_symbol"=>"fossil_oil", "annotation"=>"Moni P.S.", "under_construction"=>"0"',POINT(33.21167 34.732584)
28,78,Fossil oil,247,'"country"=>"CY", "ogc_fid"=>"2498", "visible"=>"1", "name_all"=>"Vasilikos P.S.", "name_eng"=>"Vasilikos P.S.", "name_nat"=>" ", "objectid"=>"2595", "duplicate"=>"1", "mb_symbol"=>"fossil_oil", "annotation"=>"Vasilikos P.S.", "under_construction"=>"0"',POINT(33.376465 34.759666)
29,80,Fossil oil,520,'"country"=>"CY", "ogc_fid"=>"2499", "visible"=>"1", "name_all"=>"Dhekelia P.S.", "name_eng"=>"Dhekelia P.S.", "name_nat"=>" ", "objectid"=>"2596", "duplicate"=>"1", "mb_symbol"=>"fossil_oil", "annotation"=>"Dhekelia P.S.", "under_construction"=>"0"',POINT(33.804932 34.966999)
30,82,Hydro pure pump storage,160,'"country"=>"BG", "ogc_fid"=>"2582", "visible"=>"1", "name_all"=>"Orfey / Opфeй", "name_eng"=>"Orfey", "name_nat"=>"Opфeй", "objectid"=>"2685", "duplicate"=>"1", "mb_symbol"=>"hydro_pure_ps", "annotation"=>"Orfey", "under_construction"=>"0"',POINT(24.356689 41.99216)
31,83,Hydro run of river & pondage,88,'"country"=>"BG", "ogc_fid"=>"2583", "visible"=>"1", "name_all"=>"Devin / Девин", "name_eng"=>"Devin", "name_nat"=>"Девин", "objectid"=>"2686", "duplicate"=>"1", "mb_symbol"=>"hydro_ror", "annotation"=>"Devin", "under_construction"=>"0"',POINT(24.455566 41.746726)
32,84,Hydro run of river & pondage,60,'"country"=>"BG", "ogc_fid"=>"2584", "visible"=>"1", "name_all"=>"Teshel / Тешел", "name_eng"=>"Teshel", "name_nat"=>"Тешел", "objectid"=>"2687", "duplicate"=>"1", "mb_symbol"=>"hydro_ror", "annotation"=>"Teshel", "under_construction"=>"0"',POINT(24.32373 41.640078)
33,92,Hydro pure storage,24,'"country"=>"AL", "ogc_fid"=>"2914", "visible"=>"1", "name_all"=>"Ulze", "name_eng"=>"Ulze", "name_nat"=>" ", "objectid"=>"3041", "duplicate"=>"1", "mb_symbol"=>"hydro_pure_storage", "annotation"=>"Ulze", "under_construction"=>"0"',POINT(20.039062 41.566142)
34,515,Mixed fuels,100,'"country"=>"AL", "ogc_fid"=>"2918", "visible"=>"1", "name_all"=>"Vlore", "name_eng"=>"Vlore", "name_nat"=>" ", "objectid"=>"3045", "duplicate"=>"1", "mb_symbol"=>"fossil_mixed", "annotation"=>"Vlore", "under_construction"=>"0"',POINT(19.434814 40.446947)
35,459,Hydro run of river & pondage,23,'"country"=>"AL", "ogc_fid"=>"2919", "visible"=>"1", "name_all"=>"Bistrice", "name_eng"=>"Bistrice", "name_nat"=>" ", "objectid"=>"3046", "duplicate"=>"2", "mb_symbol"=>"hydro_ror", "annotation"=>"", "under_construction"=>"0"',POINT(20.050049 39.926588)
36,511,Hydro pure storage,25,'"country"=>"AL", "ogc_fid"=>"2931", "visible"=>"1", "name_all"=>"Shkopet", "name_eng"=>"Shkopet", "name_nat"=>" ", "objectid"=>"3059", "duplicate"=>"1", "mb_symbol"=>"hydro_pure_storage", "annotation"=>"Shkopet", "under_construction"=>"0"',POINT(19.962158 41.640078)
37,102,Hydro pure storage,210,'"country"=>"GR", "ogc_fid"=>"3842", "visible"=>"-1", "category"=>"2", "name_all"=>"Piges Aoou", "name_eng"=>"Piges Aoou", "name_nat"=>" ", "objectid"=>"4008", "duplicate"=>"1", "mb_symbol"=>"hydro_pure_storage", "annotation"=>"Piges Aoou", "under_construction"=>"0"',POINT(21.005859 39.859155)
38,101,Hydro pure storage,333.600006,'"country"=>"GR", "ogc_fid"=>"3843", "visible"=>"-1", "category"=>"2", "name_all"=>"Pournari", "name_eng"=>"Pournari", "name_nat"=>" ", "objectid"=>"4010", "duplicate"=>"1", "mb_symbol"=>"hydro_pure_storage", "annotation"=>"Pournari", "under_construction"=>"0"',POINT(21.269531 39.257778)
39,103,Hydro pure storage,81.300003,'"country"=>"GR", "ogc_fid"=>"3844", "visible"=>"-1", "category"=>"2", "name_all"=>"Stratos", "name_eng"=>"Stratos", "name_nat"=>" ", "objectid"=>"4011", "duplicate"=>"1", "mb_symbol"=>"hydro_pure_storage", "annotation"=>"Stratos", "under_construction"=>"0"',POINT(21.335449 38.61687)
40,103,Hydro pure storage,437.200012,'"country"=>"GR", "ogc_fid"=>"3845", "visible"=>"-1", "category"=>"2", "name_all"=>"Kremasta", "name_eng"=>"Kremasta", "name_nat"=>" ", "objectid"=>"4012", "duplicate"=>"1", "mb_symbol"=>"hydro_pure_storage", "annotation"=>"Kremasta", "under_construction"=>"0"',POINT(21.643066 38.822591)
41,103,Hydro pure storage,320,'"country"=>"GR", "ogc_fid"=>"3846", "visible"=>"-1", "category"=>"2", "name_all"=>"Kastraki", "name_eng"=>"Kastraki", "name_nat"=>" ", "objectid"=>"4013", "duplicate"=>"1", "mb_symbol"=>"hydro_pure_storage", "annotation"=>"Kastraki", "under_construction"=>"0"',POINT(21.390381 38.771216)
42,107,Hydro pure storage,129.899994,'"country"=>"GR", "ogc_fid"=>"3847", "visible"=>"-1", "category"=>"2", "name_all"=>"N. Plastiras", "name_eng"=>"N. Plastiras", "name_nat"=>" ", "objectid"=>"4014", "duplicate"=>"1", "mb_symbol"=>"hydro_pure_storage", "annotation"=>"N. Plastiras", "under_construction"=>"0"',POINT(21.796875 39.283294)
43,119,Hydro pure storage,70,'"country"=>"GR", "ogc_fid"=>"3848", "visible"=>"-1", "category"=>"2", "name_all"=>"Ladonas", "name_eng"=>"Ladonas", "name_nat"=>" ", "objectid"=>"4015", "duplicate"=>"1", "mb_symbol"=>"hydro_pure_storage", "annotation"=>"Ladonas", "under_construction"=>"0"',POINT(21.928711 37.814124)
44,99,Fossil gas,845,'"country"=>"GR", "ogc_fid"=>"3849", "visible"=>"-1", "category"=>"1", "name_all"=>"Megalopoli", "name_eng"=>"Megalopoli", "name_nat"=>" ", "objectid"=>"4016", "duplicate"=>"1", "mb_symbol"=>"fossil_coal_gas_cons", "annotation"=>"Megalopoli", "under_construction"=>"1"',POINT(22.280273 37.422526)
